ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,destination_airport_ICAO,id
4b1af2,HBKFI,2022-09-12T14:36:35Z,2022-09-12,2022-09-12T15:25:59Z,2022-09-12,LSGL,LSGL,4b1af2_2022-09-12 16:36:35
44c06b,OOPCK,2022-09-12T15:00:20Z,2022-09-12,2022-09-12T16:57:59Z,2022-09-12,LSGL,EGLD,44c06b_2022-09-12 17:00:20
460aa7,FSF919F,2022-09-12T15:21:53Z,2022-09-12,2022-09-12T16:57:33Z,2022-09-12,LSGL,LOAN,460aa7_2022-09-12 17:21:53
4b43ad,RGA04,2022-09-12T16:06:38Z,2022-09-12,2022-09-12T16:20:10Z,2022-09-12,LSGL,LSGK,4b43ad_2022-09-12 18:06:38
4b28e3,HBPMP,2022-09-12T16:14:50Z,2022-09-12,2022-09-12T17:03:48Z,2022-09-12,LSGL,LSGL,4b28e3_2022-09-12 18:14:50
4b1af2,HBKFI,2022-09-12T16:21:13Z,2022-09-12,2022-09-12T16:56:14Z,2022-09-12,LSGL,LSGL,4b1af2_2022-09-12 18:21:13
4b2bee,HBQQO,2022-09-12T16:37:30Z,2022-09-12,2022-09-12T16:59:26Z,2022-09-12,LSGL,LSGL,4b2bee_2022-09-12 18:37:30
4b2bef,HBQQP,2022-09-12T16:57:15Z,2022-09-12,2022-09-12T17:24:03Z,2022-09-12,LSGL,LSGL,4b2bef_2022-09-12 18:57:15
4b4271,HBZEF,2022-09-13T02:29:30Z,2022-09-13,2022-09-13T02:43:38Z,2022-09-13,LSGL,LSGB,4b4271_2022-09-13 04:29:30
4b43ad,RGA04,2022-09-13T06:02:21Z,2022-09-13,2022-09-13T06:14:58Z,2022-09-13,LSGL,LSGT,4b43ad_2022-09-13 08:02:21
461838,FSF605K,2022-09-13T06:04:11Z,2022-09-13,2022-09-13T06:39:27Z,2022-09-13,LSGL,LSZR,461838_2022-09-13 08:04:11
461fbd,FSF12N,2022-09-13T06:22:48Z,2022-09-13,2022-09-13T07:11:28Z,2022-09-13,LSGL,LIML,461fbd_2022-09-13 08:22:48
4b1bdd,HBKOJ,2022-09-13T07:26:45Z,2022-09-13,2022-09-13T08:54:55Z,2022-09-13,LSGL,LSPV,4b1bdd_2022-09-13 09:26:45
4b28e3,HBPMP,2022-09-13T07:32:10Z,2022-09-13,2022-09-13T08:12:15Z,2022-09-13,LSGL,LSMA,4b28e3_2022-09-13 09:32:10
4b40e4,HBYOY,2022-09-13T09:18:03Z,2022-09-13,2022-09-13T10:05:22Z,2022-09-13,LSGL,LSZG,4b40e4_2022-09-13 11:18:03
391a38,HBOJI,2022-09-13T13:09:56Z,2022-09-13,2022-09-13T13:21:09Z,2022-09-13,LSGL,LSGY,391a38_2022-09-13 15:09:56
4b1b54,HBKJC,2022-09-13T13:15:22Z,2022-09-13,2022-09-13T13:53:41Z,2022-09-13,LSGL,LSPL,4b1b54_2022-09-13 15:15:22
4b26f7,HBOTR,2022-09-13T13:16:05Z,2022-09-13,2022-09-13T13:51:14Z,2022-09-13,LSGL,LSPL,4b26f7_2022-09-13 15:16:05
4d02c3,JFA06J,2022-09-13T14:23:11Z,2022-09-13,2022-09-13T14:39:50Z,2022-09-13,LSGL,LFLI,4d02c3_2022-09-13 16:23:11
4b3204,HBSYM,2022-09-13T15:14:55Z,2022-09-13,2022-09-13T15:45:29Z,2022-09-13,LSGL,LSGL,4b3204_2022-09-13 17:14:55
4d02a5,JFA11L,2022-09-13T15:46:18Z,2022-09-13,2022-09-13T16:50:28Z,2022-09-13,LSGL,LFPB,4d02a5_2022-09-13 17:46:18
4b1af2,HBKFI,2022-09-13T16:17:50Z,2022-09-13,2022-09-13T17:07:04Z,2022-09-13,LSGL,LSGL,4b1af2_2022-09-13 18:17:50
4b2bef,HBQQP,2022-09-13T16:44:25Z,2022-09-13,2022-09-13T17:11:07Z,2022-09-13,LSGL,LSMP,4b2bef_2022-09-13 18:44:25
4b1af2,HBKFI,2022-09-14T06:10:51Z,2022-09-14,2022-09-14T06:45:55Z,2022-09-14,LSGL,LSGL,4b1af2_2022-09-14 08:10:51
4b1c2b,HBKRJ,2022-09-14T06:12:03Z,2022-09-14,2022-09-14T06:45:48Z,2022-09-14,LSGL,LSZR,4b1c2b_2022-09-14 08:12:03
4d02a8,JFA62P,2022-09-14T06:41:32Z,2022-09-14,2022-09-14T07:52:52Z,2022-09-14,LSGL,EDDF,4d02a8_2022-09-14 08:41:32
4b4271,HBZEF,2022-09-14T06:49:14Z,2022-09-14,2022-09-14T07:00:41Z,2022-09-14,LSGL,LSGB,4b4271_2022-09-14 08:49:14
